category,real_name,alias,title,affiliation,citizenship,date_of_birth,date_of_death,species,gender,status,clearance,comic,game,movie,one_shot,portrayed_by,ser_no,tv_series,voiced_by,web_series
Hero,Carl Creel,"The Crusher, Crusher Creel, Absorbing Man, Third Party, The Bulletproof Assassin, Michelin Man, Inside Man, Government's Hired Gun, Messenger Boy, Guinea Pig, Son, Soldier",NA,HYDRA (formerly) ATCU (formerly),American,NA,Spring 2018,Human,Male,Deceased,NA,NA,NA,NA,NA,Brian Patrick Wade,23-958-NA-02,Agents of S.H.I.E.L.D. (9 episodes)Daredevil (mentioned),NA,NA
Villain,NA,NA,NA,A.I.M.,British English,NA,NA,Human,Male,Unknown,NA,NA,Iron Man,NA,NA,NA,NA,NA,Fred Tatasciore,NA
Hero,Alex Wilder,"Young Homie, Al, Little Homie, New Andre, My Boy, America's Most Wanted, Asshole, August Bradner, Alvin, Mini-Wilder, Little Wilder, Mini-Hoodlum, NPCLittle Shit, Teenage Idiot, TARDIS-Loving Dork",NA,Atlas Academy (formerly)Runaways,American,Early 2001[1][2][3],NA,Human,Male,Alive,NA,NA,NA,NA,NA,Rhenzy Feliz,NA,Runaways (23 episodes),NA,NA
Villain,Abilisk,"Giant Sea Monkey, Inter-Dimensional Beast",NA,NA,NA,NA,October 2014,NA,NA,Deceased,NA,NA,NA,Guardians of the Galaxy Vol. 2,NA,NA,NA,NA,NA,NA
Hero,Alphonso Mackenzie,"Mack, The Saint, The Guy Who Kills Gordon, Soft Little Fluffy Little Teddy Bear, Jonah Katz, Alfie, Nerd Herd (with Leo Fitz)Turtleman, Mini Tank, Black Kojak, Big Man, Ghost Rider, The Protector, Tiny, Agitator, Pretty Boy, Beast, Monster Mack, Rebel Peacemaker Mack, Mack Hammer, Cowboy, Star Commander",Director of S.H.I.E.L.D.Agent of S.H.I.E.L.D. (formerly),S.H.I.E.L.D. S.H.I.E.L.D. (Framework; formerly)Deke Shaw's Company (shareholder),American,NA,NA,Human,Male,Alive,Level Blue (formerly),NA,NA,NA,NA,Henry Simmons,NA,Agents of S.H.I.E.L.D. (96 episodes),NA,Agents of S.H.I.E.L.D.: Slingshot (1 episode)
Villain,Emil Blonsky,"Abomination, Ace, Monster, Something Big, Hulk, The Other One",Captain (formerly),British Armed Forces (formerly)* Royal Marines (formerly)Strategic Operations Command Center (formerly),Russian British English,"March 1, 1971[1]",NA,Human,Male,In Custody,NA,"The Incredible Hulk: The Big Picture, The Avengers Prelude: Fury's Big Week, Thor: Ragnarok Prelude",The Incredible Hulk,The Incredible Hulk,The Consultant (archive footage),Tim Roth,NA,Agents of S.H.I.E.L.D. (mentioned)Daredevil (picture)The Defenders (picture)The Punisher (picture),"J.B. Blanc, J.D. Hall, Fred Tatasciore, Jonathan Lipow, Jon Curry, Jeffrey Parker (vocal effects)",WHiH Newsfront (picture)
Hero,NA,"Ancient One, Sorceress Supreme",Sorcerer Supreme,Masters of the Mystic Arts,NA,1316-1317,Early 2017,Human,Female,Deceased,NA,"Doctor Strange Prelude, Doctor Strange Prelude - The Zealot, Doctor Strange: Episode 0Avengers: Infinity War Prelude (flashback)",NA,"Doctor Strange, Avengers: Endgame",NA,Tilda Swinton,NA,NA,NA,NA
Villain,Carl Creel,"The Crusher, Crusher Creel, Absorbing Man, Third Party, The Bulletproof Assassin, Michelin Man, Inside Man, Government's Hired Gun, Messenger Boy, Guinea Pig, Son, Soldier",NA,HYDRA (formerly) ATCU (formerly),American,NA,Spring 2018,Human,Male,Deceased,NA,NA,NA,NA,NA,Brian Patrick Wade,23-958-NA-02,Agents of S.H.I.E.L.D. (9 episodes)Daredevil (mentioned),NA,NA
Hero,Scott Edward Harris Lang,"Ant-Man, Chang, SFPD 56210Prisoner 121758584Scotty, Cyber-Criminal, Self-Proclaimed Whistleblower, The Mastermind Vistacorp Cyber-Thief, Jack, Cat Burglar, Hot Shot, Princess, The Breach, Little Guy, The Martyr, Guy That Shrinks, Tic Tac, Tiny Dude, Buddy, World's Greatest Grandma, Giant-Man, Humie, Tiny, The Guy Who Got Really Big, Idiot, Regular Size-Man, Puppy, Little Buddy, Thumbelina, Stuart Little, Piss-Ant",NA,Vistacorp (formerly) Baskin-Robbins (formerly)X-Con Security Consultants Avengers (formerly),American,NA,NA,Human,Male,Alive,NA,"Ant-Man - Scott Lang: Small Time, Spider-Man: Homecoming Prelude, Avengers: Infinity War Prelude, Ant-Man and the Wasp Prelude, Captain Marvel Prelude (computer screen)",NA,"Ant-Man, Captain America: Civil War, Spider-Man: Homecoming (video footage)Avengers: Infinity War (mentioned)Ant-Man and the Wasp Avengers: Endgame, Spider-Man: Far From Home (picture)",NA,"Paul Rudd, Jackson Dunn (young)Lee Moore (old)Bazlo Le, Clair (baby)Loen Le, Clair (baby)",56210121758584,NA,NA,WHiH Newsfront (2 episodes)
Villain,Abu Bakaar,NA,NA,Ten Rings,Afghan,NA,NA,Human,Male,Unknown,NA,"Iron Man: Security Measures, Iron Man: I Am Iron Man!",NA,Iron Man,NA,Sayed Badreya,NA,NA,NA,NA
