ranking_year,title,ranking,n_viewer,gross_profit_per_viewer,rating,synopsis,producer,director,writer,actress,release_date
2019,Dilan 1991,1,5253411,40000,8.5,"22 Desember 1990, Dilan (Iqbaal Ramadhan) dan Milea (Vanesha Prescilla) resmi berpacaran. Ditengah kebahagiaan mereka Dilan terancam dipecat dari sekolah akibat perkelahian dengan Anhar (Giulio Parengkuan). Dilan juga semakin sering berkelahi dan mendapatkan musuh.Milea khawatir dengan masa depan Dilan. Milea merasa berhak melarang Dilan terlibat dalam geng motor. Suatu ketika, Dilan dikeroyok oleh orang tak dikenal. Saat mengetahui siapa yang berbuat, Dilan merencanakan balas dendam. Milea akhirnya meminta Dilan berhenti dari geng motor atau hubungan mereka berakhir. Dilan, seorang panglima tempur dan ketua geng motor, akan selalu terlibat masalah. Di tengah semua masalah itu, hadir Yugo (Jerome Kurnia), anak dari sepupu jauh ayah Milea yang baru pulang dari Belgia. Mereka sering menghabiskan waktu bersama. Yugo menyukai Milea. Dan Milea...hanya mencintai Dilan.",Ody Mulya Hidayat,"Fajar Bustomi, Pidi Baiq","Titien Wattimena, Pidi Baiq","Iqbaal Ramadhan, Vanesha Prescilla",2019-02-28
2019,Dua Garis Biru,2,2538473,40000,8,"Dara (Zara JKT48) dan Bima (Angga Yunanda) melanggar batas tanpa tahu konsekuensinya. Mereka berusaha menjalani tanggung jawab atas pilihan mereka. Mereka pikir mereka siap jadi dewasa untuk menghadapi segala konsekuensinya. Keluguan mereka langsung diuji saat keluarga yang amat mencintai mereka tahu, lalu memaksa masuk dalam perjalanan pilihan mereka.","Chand Parwez Servia, Fiaz Servia",Gina S Noer,Gina S Noer,"Angga Yunanda, Zara JKT 48",2019-07-11
2019,My Stupid Boss 2,3,1876052,40000,7,"Karena kekurangan karyawan pabrik, Bossman (Reza Rahadian) berniat mencari karyawan baru di Vietnam. Berangkatlah Bossman, Diana (Bunga Ctra Lestgari), Mr Kho (Chew Kin Wah), dan Adrian (Iedil Putra ) ke Vietnam.  Di Vietnam alih-alih mendapatkan karyawan, mereka justru mendapatkan bertubi-tubi masalah karena ulah Bossman: Bossman melanggar kesepakatan jumlah gaji yang membuat para calon pekerja Vietnam mengamuk; dan ditahan di kantor polisi. Sementara itu di Kuala Lumpur, Norahsikin (Atikah Suhaemi) dan Azahari (Iskandar Zulkarnaen) juga harus menghadapi masalah. Keduanya disandera oleh gangster sampai Bossman mau melunasi hutangnya. Kali ini ulah Bossman membuat Diana dkk geram dan berpikir untuk melakukan sesuatu.",Frederica,Upi,"Upi, Chaos@work","Reza Rahadian, Bunga Citra Lestari",2019-03-28
2019,Kuntilanak 2,4,1726570,40000,4.5,"Dinda (Sandrinna Skornicki) yang berhasil lepas dari teror Kuntilanak, tanpa persetujuan Tante Donna (Nena Rosier), berniat untuk menemui seseorang yang diyakini sebagai ibu kandungnya, Karmila (Karina Suwandi). Bersama adik-adiknya dan ditemani Julia (Susan Sameh) dan Edwin (Maxime Bouttier), mereka malah terjebak dalam sebuah rumah di tengah hutan. Banyak kejanggalan terjadi. Dinda kembali harus berhadapan dengan Kuntilanak, tetapi berbeda dengan yang pernah dikalahkannya dengan menggunakan paku atau mantra.",Raam Punjabi,Rizal Mantovani,Alim Sudio,"Sandrinna M Skornicki, Andryan Bima, Ali Fikry, Adlu Fahrezy, Ciara Nadine Brosnan",2019-06-04
2019,Keluarga Cemara,5,1701498,40000,6.5,"Abah (Ringgo Agus Rahman), sangat ingin bertahan setelah rumah dan pasca hartanya disita oleh debt collector untuk membayar hutang perusahaan kakak iparnya, dengan cara pindah sementara ke rumah di desa terpencil di Jawa Barat. Rumah itu merupakan rumah masa kecilnya, sebuah warisan dari ayahnya. Karena kasusnya kalah di pengadilan, keluarganya terancam selamanya hidup dalam kemiskinan di desa itu. Abah kini harus beradaptasi secara ekonomi bersama keluarga kecilnya, Emak (Nirina Zubir), Euis (Zara JKT48) yang beranjak remaja, akan mengalami menstruasi pertama serta cinta pertama; serta Cemara/Ara (Widuri Puteri) yang penuh semangat. Mereka juga harus menghadapi masalah-masalah keluarga yang perlahan mengguncang prinsip mereka bahwa “harta yang paling berharga adalah keluarga.”","Anggia Kharisma, Gina S Noer",Yandy Laurens,"Gina S Noer, Yandy Laurens","Nirina Zubir, Ringgo Agus Rahman, Adhisty Zara, Widuri Puteri",2019-01-03
2019,Preman Pensiun,6,1147469,40000,7,"Setelah tiga tahun, bisnis kecimpring Muslihat (Epi Kusnandar) yang sudah pensiun sebagai preman, mengalami masalah. Penjualannya menurun. Muslihat juga menghadapi masalah baru saat Safira (Safira Maharani), anak perempuan satu-satunya, tumbuh remaja dan mulai didatangi lelaki. Masalah lebih besar: masalah di antara mantan anak buahnya.","Miftah S Yahya, Reggi Djundjunan",Aris Nugraha,Aris Nugraha,"Epy Kusnandar, Tia Arifin, Soraya Rasyid",2019-01-17
2019,Orang Kaya Baru,7,1118738,40000,6.5,"Cerita tentang kaya mendadak yang dialami oleh sebuah keluarga yaitu Ibu (Cut Mini), Ayah (Lukman Sardi) dan tiga anak mereka: Tika (Raline Shah), Duta (Derby Romero), dan Dodi (Fatih Unru). Keluarga ini selalu menjalani kehidupan sehari-sehari mereka dengan serba apa adanya. Ketika sang ayah meninggal, barulah diketahui bahwa selama ini ia ternyata orang yang sangat kaya. Hartanya diwariskan kepada keluarga yang ia tinggalkan  Uang kaget tersebut kemudian digunakan oleh istri dan anak-anaknya. Mereka yang tadinya hidup susah, kini membeli rumah, mobil hingga barang-barang mewah lainnya.","Sukhdev Singh, Wicky V Olindo",Ody C Harahap,Joko Anwar,"Cut Mini, Lukman Sardi, Raline Shah, Derby Romero, Fatih Unru",2019-01-24
2019,Ghost Writer,8,1116676,40000,7,"Sebuah buku catatan harian tua berisi rahasia kelam. Bagi Galih (Ge Pamungkas), buku ini adalah sebuah pembelaan terhadap prasangka kedua orangtuanya. Bagi Naya (Tatjana Saphira), buku ini adalah materi bagus untuk novel terbarunya setelah tiga tahun kering ide. Maka sebuah kerjasama beda alam pun dimulai.","Ernest Prakasa, Chand Parwez Servia",Bene Dion Rajagukguk,"Nonny Boenawan, Bene Dion Rajagukguk","Tatjana Saphira, Ge Pamungkas, Deva Mahenra, Ernest Prakasa, Asmara Abigail",2019-06-04
2019,Yowis Ben 2,9,1031856,40000,7.5,"Usai diputus Susan (Cut Meyriska), Bayu (Bayu Skak) dihadapkan pada naiknya harga kontrakan yang membuat dia, ibunya dan Cak Jon (Arief Didu) terancam diusir. Untungnya Yowis Ben populer di Malang dan jadi satu-satunya harapan Bayu menyelesaikan persoalan keuangan. Celakanya masing-masing personil menyimpan masalah. Yayan (Tutus Thomson) menikah dengan Mia (Anggika Bolsterli); krisis keluarga Nando (Brandon Salim) karena ayahnya memutuskan menikah lagi; dan Doni (Joshua Suherman) berambisi punya pacar. Bayu memecat Cak Jon, lalu mempercayakan Yowis Ben kepada Cak Jim (Timo Scheunemann), yang mengklaim dirinya sudah membesarkan banyak artis nasional. Mereka pun hijrah ke Bandung. Tapi, kredibilitas Cak Jim mencurigakan dan Bayu juga harus meluluhkan hati bapak super galak karena dia jatuh cinta dengan Asih (Anya Geraldine), putrinya.","Chand Parwez Servia, Fiaz Servia","Fajar Nugros, Bayu Skak",Bagus Bramanti,"Bayu Skak, Joshua Suherman, Brandon Salim, Tutus Thomson, Anya Geraldine, Anggika Bolsterli, Devina Aureel, Laura Theux",2019-03-14
2019,Bumi Manusia,10,936156,40000,5.5,"Inilah kisah Minke (Iqbaal Ramadhan ) dan Annelies (Mawar De Jongh) di di atas pentas pergelutan tanah kolonial awal abad 20. Minke, pemuda pribumi, Jawa totok. Annelies, gadis Indo Belanda, anak Nyai Ontosoroh (Sha Ine Febriyanti). Bapak Minke yang baru saja diangkat jadi Bupati, tak pernah setuju Minke dekat dengan keluarga Nyai, sebab posisi Nyai di masa itu dianggap sama rendah dengan binatang peliharaan. Namun nyai yang satu ini, Nyai Ontosoroh, berbeda. Minke mengagumi segala pemikiran dan perjuangannya melawan keangkuhan hegemoni bangsa kolonial. Bagi Minke, Nyai Ontosoroh adalah cerminan modernisasi yang kala itu sedang memulai geliatnya. Ketika keangkuhan hukum kolonial mencoba merenggut paksa Annelies dari sisi Minke, Nyai Ontosoroh pula yang meletupkan semangat agar Minke terus maju dan memekikkan satu kata, “Lawan!”",Frederica,Hanung Bramantyo,"Salman Aristo, Pramoedya Ananta Toer","Iqbaal Ramadhan, Mawar de Jongh, Sha Ine Febriyanti",2019-08-15
